word,count,common
death,47,True
educational,47,True
indus,47,False
mistake,47,True
lose,47,True
saw,47,True
biggest,46,True
followers,46,True
income,46,True
politicians,46,True
intelligence,46,True
usa,46,True
elections,46,True
supported,46,True
official,46,True
seems,46,True
fool,46,True
anil,45,False
responsibility,45,True
expect,45,True
joke,45,True
majority,45,True
left,45,True
bring,45,True
singh,45,True
rahim,45,False
coming,44,True
soon,44,True
maybe,44,True
arunachal,44,False
permission,44,True
wont,44,True
kashmiris,44,False
picture,44,True
condemn,44,False
admit,44,True
ground,44,True
suffering,44,True
otherwise,44,True
free,44,True
complete,44,True
citizens,44,True
areas,44,True
remains,44,True
arrested,43,True
itself,43,True
current,43,True
towards,43,True
ai,43,True
commander,43,True
national,43,True
destroy,43,True
service,43,True
local,43,True
criticizing,43,False
especially,43,True
near,43,True
dhurv,43,False
watched,43,True
claimed,43,True
armed,43,True
pl,43,True
bases,43,True
occupied,43,True
proofs,43,True
drone,43,False
edit,43,True
words,43,True
land,42,True
follow,42,True
took,42,True
almost,42,True
calling,42,True
kindly,42,True
thinking,42,True
ensure,42,True
wire,42,True
inside,42,True
family,42,True
investigate,42,True
srinagar,42,False
future,41,True
explained,41,True
science,41,True
onesided,41,False
act,41,True
pehalgam,41,False
means,41,True
criticized,41,True
following,41,True
wants,41,True
problems,41,True
lots,41,True
ali,40,True
actual,40,True
theres,40,True
topics,40,True
fully,40,True
lets,40,True
purposes,40,True
actions,40,True
democracy,40,True
raised,40,True
hand,40,True
hats,40,True
protect,40,True
offered,40,True
creator,40,True
osho,40,False
…,40,False
focus,40,True
havent,40,False
extremist,39,False
remember,39,True
percent,39,True
assam,39,False
disappointed,39,True
explanation,39,True
funeral,39,True
consider,39,True
muzamil,39,False
siang,39,False
pilots,39,True
bollywood,39,True
peaceful,39,True
balanced,38,True
scared,38,True
high,38,True
translate,38,True
earth,38,True
heart,38,True
bathinda,38,False
top,38,True
role,38,True
target,38,True
cover,38,True
karachi,38,False
stories,38,True
huge,38,True
hell,38,True
dangerous,38,True
targeting,38,True
known,38,True
officials,38,True
pradesh,38,True
himself,38,True
fear,38,True
that’s,37,False
agencies,37,True
possible,37,True
pashto,37,False
fair,37,True
often,37,True
able,37,True
becoming,37,True
attacking,37,True
cds,37,True
literally,37,True
gaza,37,True
control,37,True
deep,37,True
citizen,37,True
second,37,True
ji,37,True
eyes,37,True
sad,37,True
guts,37,True
list,37,True
shown,36,True
sure,36,True
either,36,True
unchanged,36,True
happen,36,True
interview,36,True
hypocrisy,36,False
combat,36,True
factual,36,True
secular,36,True
wanted,36,True
agenda,36,True
respond,36,True
post,36,True
hero,36,True
ideology,36,True
islamic,36,True
journalism,36,True
chandimandir,36,False
fire,36,True
defeat,36,True
wish,36,True
talked,36,True
team,36,True
sites,36,True
america,36,True
major,36,True
forgot,35,True
together,35,True
justify,35,True
confirm,35,True
dhruvrathee,35,False
line,35,True
though,35,True
bangladeshi,35,False
carried,35,True
fighting,35,True
internal,35,True
except,35,True
authentic,35,True
trusted,35,True
river,35,True
unfortunately,34,True
jail,34,True
jc,34,True
offer,34,True
openly,34,True
treaty,34,True
nuclear,34,True
supports,34,True
population,34,True
three,34,True
sharif,34,False
leave,34,True
happening,34,True
book,34,True
child,34,True
exposing,34,True
learn,34,True
asking,34,True
france,34,True
extremism,34,False
entire,34,True
gain,34,True
update,34,True
hey,34,True
prime,34,True
failure,33,True
bias,33,True
bcz,33,False
blind,33,True
yours,33,True
nawaz,33,False
updated,33,True
spoke,33,True
ready,33,True
shut,33,True
defend,33,True
anymore,33,True
chauhan,33,False
hours,33,True
bhai,33,False
journalists,33,True
image,33,True
india’s,33,False
bhaiya,33,False
akhnoor,33,False
needs,33,True
section,33,True
anti,33,True
mosques,32,False
seriously,32,True
misleading,32,True
non,32,True
brave,32,True
home,32,True
airport,32,True
ignore,32,True
mistakes,32,True
law,32,True
brain,32,True
secretary,32,True
dead,32,True
reuters,32,True
sikh,32,False
mindset,32,False
bit,32,True
men,32,True
themselves,32,True
went,32,True
narratives,32,False
small,32,True
later,32,True
perspective,32,True
makes,32,True
cause,31,True
working,31,True
funny,31,True
fatf,31,False
martyred,31,False
less,31,True
ones,31,True
written,31,True
countrys,31,False
lack,31,True
minority,31,True
north,31,True
casualties,31,True
front,31,True
oh,31,True
incidents,31,True
rcb,31,False
iam,30,False
mostly,30,True
forget,30,True
father,30,True
deaths,30,True
victory,30,True
student,30,True
dam,30,True
pakistan’s,30,False
title,30,True
standing,30,True
directly,30,True
brothers,30,True
pressure,30,True
police,30,True
selective,30,True
accepting,30,True
dirty,30,True
ignored,30,True
speaks,30,True
places,30,True
bbc,30,True
destruction,30,True
attention,30,True
wars,30,True
bullshit,29,True
definitely,29,True
powerful,29,True
rights,29,True
educated,29,True
quite,29,True
worry,29,True
claiming,29,True
st,29,True
successfully,29,True
friend,29,True
groups,29,True
blamed,29,True
sent,29,True
created,29,True
global,29,True
total,29,True
logic,29,True
fall,29,True
fir,29,True
gandhi,29,True
normal,29,True
gone,29,True
several,29,True
patriotism,28,False
books,28,True
across,28,True
governments,28,True
game,28,True
quoting,28,True
talks,28,True
doesn’t,28,False
via,28,True
rahul,28,False
millions,28,True
ago,28,True
presented,28,True
example,28,True
launched,28,True
night,28,True
she,28,True
course,28,True
shivangi,28,False
isi,28,False
school,28,True
tried,28,True
grow,28,True
rafailfail,28,False
fail,28,True
voices,28,True
happens,28,True
modis,28,False
nonsense,28,True
strike,28,True
explaining,28,True
house,28,True
puppet,27,True
shameful,27,False
gujrat,27,False
condemned,27,True
afraid,27,True
baseless,27,False
viewership,27,False
ive,27,True
specially,27,True
aware,27,True
hide,27,True
business,27,True
solid,27,True
corrupt,27,True
druve,27,False
former,27,True
al,27,True
port,27,True
highly,27,True
basis,27,True
atleast,26,False
late,26,True
forward,26,True
info,26,True
baloch,26,False
badly,26,True
zero,26,True
south,26,True
proper,26,True
missing,26,True
asian,26,True
cry,26,True
threat,26,True
e,26,True
hypocrite,26,False
hiding,26,True
train,26,True
context,26,True
self,26,True
nor,26,True
head,26,True
arent,26,False
reported,26,True
thoughts,26,True
youve,26,False
per,26,True
posted,26,True
laughing,26,True
warraich,26,False
hear,26,True
butcher,25,True
airforce,25,False
vpn,25,True
pure,25,True
operations,25,True
class,25,True
details,25,True
fighters,25,True
highlight,25,True
remain,25,True
approach,25,True
knew,25,True
choose,25,True
played,25,True
debate,25,True
hindustan,25,False
wow,25,True
stance,25,True
sikhs,25,False
shaheed,25,False
earlier,25,True
victims,25,True
weak,25,True
refer,25,True
type,25,True
script,25,True
jf,25,True
tandoor,25,False
exactly,25,True
nd,24,True
trump,24,True
million,24,True
extremists,24,False
rafail,24,False
found,24,True
genuine,24,True
carry,24,True
let’s,24,False
cases,24,True
losing,24,True
borders,24,True
became,24,True
presenting,24,True
fun,24,True
states,24,True
culture,24,True
destroying,24,True
provided,24,True
silent,24,True
pulwama,24,False
isn’t,24,False
vote,24,True
project,24,True
idiot,24,True
airbases,24,False
crime,24,True
ppl,24,True
aircrafts,24,False
site,24,True
alot,24,True
rawalpindi,24,False
continue,24,True
marsoos,24,False
map,24,True
page,23,True
weapons,23,True
large,23,True
body,23,True
criticise,23,False
looking,23,True
alone,23,True
ashamed,23,True
i’ve,23,False
search,23,True
society,23,True
chinese,23,True
vlog,23,False
strongly,23,True
until,23,True
l,23,True
economy,23,True
damaged,23,True
yadav,23,False
inquiry,23,True
hurt,23,True
along,23,True
brahmos,23,False
agent,23,True
among,23,True
staff,23,True
rule,23,True
childrens,23,True
standard,23,True
proving,23,True
turn,23,True
udhampur,23,False
balance,23,True
genocide,23,True
serious,23,True
simply,23,True
heard,23,True
considered,23,True
data,22,True
smart,22,True
felt,22,True
territory,22,True
hes,22,True
drama,22,True
speech,22,True
six,22,True
light,22,True
organization,22,True
lacks,22,True
gets,22,True
die,22,True
block,22,True
arguments,22,True
statements,22,True
although,22,True
clown,22,True
coward,22,True
flow,22,True
dialogue,22,True
honestly,22,True
outside,22,True
road,22,True
sitting,22,True
corruption,22,True
ass,22,True
deny,22,True
backed,22,True
policy,22,True
mosque,22,True
russia,22,True
tv,22,True
pashtun,22,False
wanna,22,True
evil,22,True
run,22,True
fans,22,True
third,22,True
french,21,True
changed,21,True
asia,21,True
counter,21,True
move,21,True
playing,21,True
atrocities,21,False
google,21,True
upload,21,True
related,21,True
goes,21,True
ind,21,True
having,21,True
nobody,21,True
ttp,21,False
protest,21,True
killings,21,False
dr,21,True
bloomberg,21,True
easy,21,True
months,21,True
bless,21,True
form,21,True
plane,21,True
nationalism,21,True
providing,21,True
dhuruv,21,False
massive,21,True
study,21,True
matters,21,True
east,21,True
families,21,True
blocked,21,True
stopped,21,True
needed,21,True
names,21,True
movie,21,True
turned,21,True
peak,21,True
socalled,21,False
jaffar,21,False
caught,21,True
acknowledge,21,True
pehelgam,21,False
perfect,21,True
can’t,21,False
multiple,21,True
patriot,21,True
defending,21,True
illegal,21,True
rise,21,True
numbers,21,True
everywhere,21,True
favourite,21,True
truthful,21,False
thinks,21,True
promoting,20,True
baluchistan,20,False
favour,20,True
rational,20,True
buy,20,True
bhatinda,20,False
quoted,20,True
thousands,20,True
luxurious,20,True
development,20,True
sometimes,20,True
agency,20,True
religions,20,True
fallen,20,True
raising,20,True
couldnt,20,False
friends,20,True
clarity,20,True
four,20,True
radical,20,True
understanding,20,True
welcome,20,True
personal,20,True
recently,20,True
h,20,True
minds,20,True
paid,20,True
mouth,20,True
detailed,20,True
resistance,20,True
field,20,True
promote,20,True
allegations,20,True
shifted,20,True
captured,20,True
images,20,True
build,20,True
lived,20,True
disagree,20,True
born,20,True
sharing,20,True
five,20,True
silence,20,True
sympathy,20,True
loyalty,20,True
brainwashed,20,False
proxy,20,True
ramban,20,False
dumb,20,True
supporter,20,True
km,19,True
natural,19,True
hour,19,True
pk,19,True
play,19,True
wasnt,19,False
proves,19,True
loose,19,True
victim,19,True
criticising,19,False
dude,19,True
young,19,True
sovereignty,19,True
sake,19,True
cnn,19,True
version,19,True
tensions,19,True
low,19,True
attackers,19,False
technology,19,True
further,19,True
king,19,True
flags,19,True
congratulations,19,True
rafaels,19,False
bunyan,19,False
deliberately,19,True
missed,19,True
bus,19,True
planned,19,True
alive,19,True
identity,19,True
pain,19,True
youth,19,True
genuinely,19,True
fault,19,True
phalgam,19,False
clips,19,True
deal,19,True
upper,19,True
respected,19,True
girl,19,True
reaction,19,True
civil,18,True
diplomatic,18,True
u,18,True
subcontinent,18,False
dare,18,True
suffer,18,True
corner,18,True
heavy,18,True
respective,18,True
age,18,True
efforts,18,True
you’ve,18,False
basically,18,True
enjoy,18,True
american,18,True
basic,18,True
crashed,18,True
loved,18,True
sadly,18,True
remove,18,True
plus,18,True
harmful,18,True
propoganda,18,False
awaited,18,True
•,18,False
correction,18,True
resources,18,True
hold,18,True
legend,18,True
joker,18,False
akash,18,False
creating,18,True
suffered,18,True
controversy,18,True
unless,18,True
creators,18,True
reading,18,True
food,18,True
communal,18,True
jazeera,18,False
bruh,18,False
parties,18,True
faced,18,True
whose,18,True
visit,18,True
extremely,18,True
stands,18,True
economic,18,True
independence,18,True
despite,18,True
members,18,True
foolish,18,True
nationalist,18,True
funded,18,True
systems,17,True
